Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Lukas Vejdemo,C,7,1,0,0,0,7,56,3,8,1,4,vejdelu01
Carter Verhaeghe,C,52,9,4,-9,8,57,487,8,29,14,17,verhaca01
Max Veronneau,RW,4,0,0,-2,0,3,34,2,2,0,0,veronma01
Jimmy Vesey,LW,64,9,11,12,15,93,883,20,43,0,5,veseyji02
Gabriel Vilardi,C,10,3,4,0,4,19,129,4,1,49,43,vilarga01
Jake Virtanen,RW,69,18,18,-4,41,150,903,28,102,5,13,virtaja01
Marc-Edouard Vlasic,D,70,5,10,-10,10,74,1421,97,37,0,0,vlasima01
Alexander Volkov,RW,9,0,1,-6,6,7,92,2,10,1,3,volkoal01
Jakub Voracek,RW,69,12,44,14,31,132,1176,21,17,7,13,voracja01
Mikhail Vorobyev,C,20,1,2,-5,6,15,209,3,4,78,62,vorobmi01
Jakub Vrana,LW,69,25,27,3,18,187,1027,16,29,6,5,vranaja01
Austin Wagner,LW,65,6,5,-5,39,124,763,19,145,3,6,wagneau01
Chris Wagner,C,67,6,4,-8,47,78,834,31,192,115,134,wagnech01
Oliver Wahlstrom,RW,9,0,0,-2,4,9,93,4,10,0,3,wahlsol01
Nathan Walker,C,5,1,1,-2,4,6,56,1,10,1,0,walkena01
Sean Walker,D,70,5,19,-12,26,127,1319,84,81,0,0,walkese01
Lucas Wallmark,C,67,12,13,0,18,84,856,26,57,379,374,wallmlu01
Jake Walman,D,1,0,0,1,0,1,11,1,0,0,0,walmaja01
Austin Watson,LW,53,6,8,-9,65,50,616,48,131,6,6,watsoau01
Jordan Weal,C,49,8,7,-8,14,86,667,21,32,96,97,wealjo01
Shea Weber,D,65,15,21,8,33,185,1561,114,112,0,0,webersh01
Yannick Weber,D,41,1,2,-1,14,45,574,38,37,0,0,weberya01
Anton Wedin,F,4,0,0,1,4,2,36,1,5,0,0,wedinan01
MacKenzie Weegar,D,45,7,11,6,33,77,905,71,76,0,0,weegama01
Dale Weise,RW,23,1,4,1,16,15,213,10,70,0,0,weiseda01
Alexander Wennberg,C,57,5,17,-5,16,72,951,31,21,309,364,wennbal01
Zach Werenski,D,63,20,21,9,10,187,1511,58,36,0,0,werenza01
Blake Wheeler,RW,71,22,43,1,37,180,1372,51,102,325,327,wheelbl01
Colin White,C,61,7,16,-12,39,83,958,30,47,275,305,whiteco02
